date,time,open,high,low,close,volume
09/04/2013,14:24:37.876,1640.25,1650.5,1650.5,1650.5,51.0
09/04/2013,14:24:37.876,1640.25,1650.5,1650.5,1650.5,50.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,57.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,194.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,50.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,58.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,130.0
09/04/2013,14:24:37.881,1640.25,1650.75,1650.5,1650.5,52.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,54.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,55.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,53.0
09/04/2013,14:24:37.881,1640.25,1650.5,1650.5,1650.5,50.0
09/04/2013,14:24:37.897,1640.25,1650.5,1650.25,1650.25,125.0
09/04/2013,14:24:37.897,1640.25,1650.25,1650.25,1650.25,59.0
09/04/2013,14:24:37.897,1640.25,1650.25,1650.25,1650.25,54.0
09/04/2013,14:24:37.897,1640.25,1650.25,1650.25,1650.25,75.0
09/04/2013,14:24:37.897,1640.25,1650.5,1650.25,1650.5,57.0
09/04/2013,14:24:37.901,1640.25,1650.5,1650.25,1650.25,58.0
09/04/2013,14:24:37.901,1640.25,1650.25,1650.25,1650.25,53.0
09/04/2013,14:24:37.901,1640.25,1650.25,1650.25,1650.25,50.0
09/04/2013,14:24:37.901,1640.25,1650.25,1650.25,1650.25,50.0
09/04/2013,14:24:37.901,1640.25,1650.5,1650.25,1650.5,58.0
09/04/2013,14:24:37.948,1640.25,1650.5,1650.25,1650.5,50.0
09/04/2013,14:24:38.181,1640.25,1650.5,1650.25,1650.25,50.0
09/04/2013,14:24:38.448,1640.25,1650.25,1650.25,1650.25,50.0
09/04/2013,14:24:38.448,1640.25,1650.25,1650.25,1650.25,51.0
09/04/2013,14:24:38.448,1640.25,1650.25,1650.25,1650.25,51.0
09/04/2013,14:24:38.521,1640.25,1650.25,1650.25,1650.25,50.0
09/04/2013,14:24:38.723,1640.25,1650.5,1650.25,1650.5,50.0
09/04/2013,14:24:38.739,1640.25,1650.5,1650.25,1650.5,54.0
09/04/2013,14:24:38.783,1640.25,1650.5,1650.25,1650.25,60.0
09/04/2013,14:24:38.913,1640.25,1650.25,1650.25,1650.25,100.0
09/04/2013,14:24:38.913,1640.25,1650.25,1650.25,1650.25,50.0
09/04/2013,14:24:38.913,1640.25,1650.25,1650.25,1650.25,62.0
09/04/2013,14:24:38.919,1640.25,1650.25,1650.25,1650.25,56.0
09/04/2013,14:24:38.984,1640.25,1650.5,1650.25,1650.25,51.0
09/04/2013,14:24:38.984,1640.25,1650.25,1650.25,1650.25,51.0
09/04/2013,14:24:38.984,1640.25,1650.25,1650.25,1650.25,52.0
09/04/2013,14:24:39.092,1640.25,1650.25,1650.25,1650.25,50.0
09/04/2013,14:24:39.562,1640.25,1650.25,1650.25,1650.25,64.0
09/04/2013,14:24:39.562,1640.25,1650.25,1650.25,1650.25,50.0
